Price_A,Price_B,Price_C,Price_D,Price_E
28.85,235.9,189.17,115.89,121.61
29.06,245.77,189.32,116.51,124.88
29.01,249.53,186.17,118.62,123.99
29,249.87,184.76,117.46,122.09
29.24,248.7,182.86,116.72,121.8
28.97,248.86,184.64,116.35,121.65
28.11,244.95,185.07,117.03,123.48
28.38,248.13,186,117.16,123
27.66,247.93,186.4,117.18,122.43
27.91,249.39,186.14,116.46,123.3
27.72,247.01,187.13,115.78,121.43
28.26,251.89,186.77,116.95,122.3
27.74,254.45,187.99,117.31,125.94
27.82,254.04,187.29,117.41,125.64
27.72,258.06,185.93,117.3,125.03
28.09,250.23,183.24,116.62,124.98
28.1,249.13,180.44,114.99,125.73
28.16,244.1,177.49,112.97,120.28
27.85,246.33,175.73,112.3,121.48
27.94,238.94,176.09,109.94,121.56
26.99,242.9,177.44,112.46,122.26
25.92,240.19,178.17,111.49,122.14
25.68,234.02,177.9,112.31,121.98
25.53,233.96,180.77,113.87,122.33
25,237.48,179.63,114.1,123.46
23.86,238.1,178.2,116.01,123.06
23.7,238.32,179.97,113.27,122.87
23.6,235.66,179.81,111.76,122.08
23.36,232.95,179.18,112.17,123.99
23.6,231.7,180.51,113.58,122.05
24,232.02,181,119.18,121.62
23.7,230.82,181.33,120.9,120.84
23.25,231.11,180.17,120.61,121.09
23.43,231.25,180.94,121,119.08
23.29,229.49,180.58,119.77,117.72
23.39,226.32,182.33,119.63,117.41
23.02,225.85,178.59,119.95,115.56
23.19,220.48,176.28,117.65,114.94
23.92,219.36,175.76,117.73,116.87
24.48,220.45,178.19,118.72,115.72
24.17,217.77,177.8,117.23,119.27
24.35,209.15,179.3,116.87,119.68
24.77,210.87,178.77,114.32,119.99
25.27,209.06,179.93,114.29,119.09
25.57,212.47,180.93,115.65,118.76
24.5,213.67,182.42,114.41,115.75
24.44,212.2,182.37,114.26,117.8
24.69,212.5,181.97,114.79,115.55
24.43,212.05,179.6,116.83,115.36
24.24,211.19,180.01,117.64,116.08
24.25,214.13,179.05,116.42,116.18
23.96,214.8,179.51,117.49,115.44
24.23,218.05,182.82,117.94,119.84
24.23,217.98,184.7,117.84,119.16
24.47,218.88,184.83,118.29,121.02
24.62,218.19,186.87,118.88,122.35
24.81,218.87,188.97,116.6,123.42
25.03,215.64,184.8,116.07,120.63
25.18,218.09,188.13,117.44,123.41
25.52,219.06,183.55,117.61,122.76
26.07,221.4,187.58,118.43,126.29
26.28,227.7,187.97,117.71,124.91
26.28,229.11,190.69,118.64,127.19
26.15,228.43,191.64,121.43,129.26
26.4,229.06,192.87,121.49,128.51
26.61,228.03,190.62,121.72,128.76
26.81,225.9,190.12,120.78,128.66
26.99,221.74,191.39,121.74,126.83
27.43,225.88,190.87,123.79,128.23
27.69,227.75,187.55,121.78,128.22
28.17,227.11,189.9,124.17,128.86
28.87,225.44,190.89,124.04,130.79
28.78,225.97,189.01,125.21,133.81
29.05,224.98,186.65,122.26,129.86
